Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1915,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.1252,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.2290,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.2158,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1971,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.2333,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1144,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1658,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1951,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1012,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1597,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.2341,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1366,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1332,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1113,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1209,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1117,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\MER3\MER3_20220806_153000.wav
