Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Marmota marmota,Alpine Marmot,0.7932,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.8688,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.6109,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.9545,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.4083,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.9303,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.8853,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1507,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.6589,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1545,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.7085,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.5936,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.9769,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220528_121500.wav
