Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.2937,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.3522,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.2090,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.3950,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.3837,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1502,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.3491,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.4374,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.3773,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.4722,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.4425,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1269,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1373,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1773,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1292,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1196,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1798,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220711_103000.wav
