Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.5356,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.1198,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.4295,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.9194,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.9916,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.9984,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.9978,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.9832,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.9938,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.9336,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.2704,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.7844,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.8232,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.9840,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220729_084500.wav
