Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1283,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1153,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1988,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1028,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1149,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1064,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1329,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1173,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1506,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.2222,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220630_204500.wav
