Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Marmota marmota,Alpine Marmot,0.1130,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1017,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1170,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1284,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.2623,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1154,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.2111,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1115,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1047,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1236,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.2649,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.2161,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1668,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220521_030000.wav
