Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1394,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1006,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1188,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1386,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1141,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1048,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1732,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1462,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1972,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1366,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.2434,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER3\MER3_20220822_114500.wav
