Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1431,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.4834,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.2761,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1632,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1493,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1559,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.4503,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.3084,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1102,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.3932,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220505_140000.wav
