Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.2905,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.1679,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1430,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.2222,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1814,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1065,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1797,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.2668,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1289,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.2020,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1209,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1581,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1042,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1257,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1042,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220727_190000.wav
